theme_date,theater_id,theater_name,sector_code,sector_name,thread_codes,thread_names,jpas_tier_code,theme_title,theme_blurb,maturity_grade,coverage_grade
"2026-11-25","T-006","The Sovereign AI Race","D19","Tax, Incentives & Fiscal Policy","D19.3","International Tax & Transfer Pricing","ENV","The Sovereign AI Race: Tax, Incentives & Fiscal Policy","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Tax, Incentives & Fiscal Policy sector — tracking International Tax & Transfer Pricing.","Established","Dedicated"
"2026-11-26","T-003","The Consent Crisis","D3","Grid & Regulatory","D3.3; D3.2; D3.1","Utility Rate Cases & PUC Proceedings; State Moratorium & Legislative Landscape; Interconnection Queue & Grid Access","WTR","The Consent Crisis: Grid & Regulatory","Communities are the new permitting authority. Today The Consent Crisis turns to the Grid & Regulatory sector — tracking Utility Rate Cases & PUC Proceedings, State Moratorium & Legislative Landscape and Interconnection Queue & Grid Access.","Established","Broad-only"
"2026-11-27","T-002","The Thermal Reckoning","D4","M&A & Capital Markets","D4.4","Integrated Infrastructure Vendor M&A","NET","The Thermal Reckoning: M&A & Capital Markets","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the M&A & Capital Markets sector — tracking Integrated Infrastructure Vendor M&A.","Established","Broad-only"
"2026-11-28","T-005","The Inference Economy","D9","Orchestration Intelligence & Control Plane","D9.3; D9.4","Inference Serving & Model-Routing Infrastructure; Power-Aware & Grid-Responsive Workload Orchestration","NET","The Inference Economy: Orchestration Intelligence & Control Plane","Training built the factories. Inference fills them. Today The Inference Economy turns to the Orchestration Intelligence & Control Plane sector — tracking Inference Serving & Model-Routing Infrastructure and Power-Aware & Grid-Responsive Workload Orchestration.","Established","Whitespace"
"2026-11-29","T-006","The Sovereign AI Race","D2","Power Architecture","D2.5","Nuclear & SMR Offtake","INC","The Sovereign AI Race: Power Architecture","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Power Architecture sector — tracking Nuclear & SMR Offtake.","Established","Dedicated"
"2026-11-30","T-003","The Consent Crisis","D14","Real Estate & Site Selection","D14.3","Emerging & Second-Tier Markets","COM","The Consent Crisis: Real Estate & Site Selection","Communities are the new permitting authority. Today The Consent Crisis turns to the Real Estate & Site Selection sector — tracking Emerging & Second-Tier Markets.","Established","Dedicated"
"2026-12-01","T-002","The Thermal Reckoning","D12","Networking & Interconnect","D12.5; D12.3","Optical Transceivers & Co-Packaged Optics; AI Back-End Fabric & Interconnect","WTR","The Thermal Reckoning: Networking & Interconnect","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Networking & Interconnect sector — tracking Optical Transceivers & Co-Packaged Optics and AI Back-End Fabric & Interconnect.","Established","Dedicated"
"2026-12-02","T-001","The Power Reckoning","D20","Facility IT & Operational Technology","D20.1; D20.2","Building Management Systems & HVAC Control; Facility DCIM & Digital Twin","RSC","The Power Reckoning: Facility IT & Operational Technology","The grid wasn't built for this. Today The Power Reckoning turns to the Facility IT & Operational Technology sector — tracking Building Management Systems & HVAC Control and Facility DCIM & Digital Twin.","Established","Dedicated"
"2026-12-03","T-004","The Capital Concentration","D17","Workforce & Labor Markets","D17.2; D17.1","Operations & Technical Workforce; Construction & Skilled Trades Labor","RSC","The Capital Concentration: Workforce & Labor Markets","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Workforce & Labor Markets sector — tracking Operations & Technical Workforce and Construction & Skilled Trades Labor.","Established","Dedicated"
"2026-12-04","T-006","The Sovereign AI Race","D5","Hyperscaler Activity","D5.4","Capacity Geography & Region Expansion","NET","The Sovereign AI Race: Hyperscaler Activity","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Hyperscaler Activity sector — tracking Capacity Geography & Region Expansion.","Established","Whitespace"
"2026-12-05","T-005","The Inference Economy","D22","Industry Media & Analyst Coverage","D22.4","Industry Analysts","RSC","The Inference Economy: Industry Media & Analyst Coverage","Training built the factories. Inference fills them. Today The Inference Economy turns to the Industry Media & Analyst Coverage sector — tracking Industry Analysts.","Established","Dedicated"
"2026-12-06","T-003","The Consent Crisis","D7","Cooling & Water Technology","D7.3","Water Use & Waterless Cooling Strategies","ENV","The Consent Crisis: Cooling & Water Technology","Communities are the new permitting authority. Today The Consent Crisis turns to the Cooling & Water Technology sector — tracking Water Use & Waterless Cooling Strategies.","Established","Whitespace"
"2026-12-07","T-004","The Capital Concentration","D10","Construction","D10.4; D10.5","Project Delivery & Schedule Intelligence; Construction Cost Curves & Inflation","WTR","The Capital Concentration: Construction","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Construction sector — tracking Project Delivery & Schedule Intelligence and Construction Cost Curves & Inflation.","Established","Dedicated"
"2026-12-08","T-001","The Power Reckoning","D21","Insurance & Risk Markets","D21.1; D21.4","DC Property & Casualty Insurance; Lender Insurance & Risk Transfer","COM","The Power Reckoning: Insurance & Risk Markets","The grid wasn't built for this. Today The Power Reckoning turns to the Insurance & Risk Markets sector — tracking DC Property & Casualty Insurance and Lender Insurance & Risk Transfer.","Established","Dedicated"
"2026-12-09","T-002","The Thermal Reckoning","D11","Sustainability","D11.3; D11.4","Water Stewardship & Rights; Heat Recovery & Circular DC","ENV","The Thermal Reckoning: Sustainability","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Sustainability sector — tracking Water Stewardship & Rights and Heat Recovery & Circular DC.","Established","Dedicated"
"2026-12-10","T-006","The Sovereign AI Race","D6","New Entrants","D6.2","Sovereign AI Programs & National Compute","PWR","The Sovereign AI Race: New Entrants","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the New Entrants sector — tracking Sovereign AI Programs & National Compute.","Established","Broad-only"
"2026-12-11","T-004","The Capital Concentration","D4","M&A & Capital Markets","D4.4; D4.2; D4.1","Integrated Infrastructure Vendor M&A; DC REIT Performance & Valuation; PE & Infrastructure Fund Activity","NET","The Capital Concentration: M&A & Capital Markets","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the M&A & Capital Markets sector — tracking Integrated Infrastructure Vendor M&A, DC REIT Performance & Valuation and PE & Infrastructure Fund Activity.","Established","Broad-only"
"2026-12-12","T-001","The Power Reckoning","D1","Chips & Density","D1.2","Rack & Power Density Progression","LBR","The Power Reckoning: Chips & Density","The grid wasn't built for this. Today The Power Reckoning turns to the Chips & Density sector — tracking Rack & Power Density Progression.","Established","Broad-only"
"2026-12-13","T-003","The Consent Crisis","D13","Community Relations","D13.3; D13.2","Local Permitting & Entitlement Strategy; Opposition Movements & Organized Groups","COM","The Consent Crisis: Community Relations","Communities are the new permitting authority. Today The Consent Crisis turns to the Community Relations sector — tracking Local Permitting & Entitlement Strategy and Opposition Movements & Organized Groups.","Established","Dedicated"
"2026-12-14","T-002","The Thermal Reckoning","D2","Power Architecture","D2.10; D2.4","Solid-State Transformers & Advanced Power Conversion; DC Power Delivery at the Rack","RSC","The Thermal Reckoning: Power Architecture","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Power Architecture sector — tracking Solid-State Transformers & Advanced Power Conversion and DC Power Delivery at the Rack.","Established","Dedicated"
"2026-12-15","T-005","The Inference Economy","D12","Networking & Interconnect","D12.5; D12.3; D12.2","Optical Transceivers & Co-Packaged Optics; AI Back-End Fabric & Interconnect; Subsea Cable Systems","WTR","The Inference Economy: Networking & Interconnect","Training built the factories. Inference fills them. Today The Inference Economy turns to the Networking & Interconnect sector — tracking Optical Transceivers & Co-Packaged Optics, AI Back-End Fabric & Interconnect and Subsea Cable Systems.","Established","Dedicated"
"2026-12-16","T-001","The Power Reckoning","D9","Orchestration Intelligence & Control Plane","D9.4","Power-Aware & Grid-Responsive Workload Orchestration","WTR","The Power Reckoning: Orchestration Intelligence & Control Plane","The grid wasn't built for this. Today The Power Reckoning turns to the Orchestration Intelligence & Control Plane sector — tracking Power-Aware & Grid-Responsive Workload Orchestration.","Established","Whitespace"
"2026-12-17","T-003","The Consent Crisis","D15","Sovereign AI & Geopolitics","D15.5","Data Sovereignty & Cross-Border Flows","RSC","The Consent Crisis: Sovereign AI & Geopolitics","Communities are the new permitting authority. Today The Consent Crisis turns to the Sovereign AI & Geopolitics sector — tracking Data Sovereignty & Cross-Border Flows.","Established","Dedicated"
"2026-12-18","T-006","The Sovereign AI Race","D14","Real Estate & Site Selection","D14.4","International Markets","WTR","The Sovereign AI Race: Real Estate & Site Selection","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Real Estate & Site Selection sector — tracking International Markets.","Established","Dedicated"
"2026-12-19","T-002","The Thermal Reckoning","D22","Industry Media & Analyst Coverage","D22.4; D22.1","Industry Analysts; U.S. Media Coverage","RSC","The Thermal Reckoning: Industry Media & Analyst Coverage","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Industry Media & Analyst Coverage sector — tracking Industry Analysts and U.S. Media Coverage.","Established","Dedicated"
"2026-12-20","T-004","The Capital Concentration","D19","Tax, Incentives & Fiscal Policy","D19.3; D19.5","International Tax & Transfer Pricing; Tax-Driven Deal Structuring","LBR","The Capital Concentration: Tax, Incentives & Fiscal Policy","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Tax, Incentives & Fiscal Policy sector — tracking International Tax & Transfer Pricing and Tax-Driven Deal Structuring.","Established","Dedicated"
"2026-12-21","T-005","The Inference Economy","D23","Outage Intelligence & Emergency Response","D23.1","Major Outage Postmortems","RSC","The Inference Economy: Outage Intelligence & Emergency Response","Training built the factories. Inference fills them. Today The Inference Economy turns to the Outage Intelligence & Emergency Response sector — tracking Major Outage Postmortems.","Established","Dedicated"
"2026-12-22","T-001","The Power Reckoning","D3","Grid & Regulatory","D3.1","Interconnection Queue & Grid Access","LBR","The Power Reckoning: Grid & Regulatory","The grid wasn't built for this. Today The Power Reckoning turns to the Grid & Regulatory sector — tracking Interconnection Queue & Grid Access.","Established","Broad-only"
"2026-12-23","T-002","The Thermal Reckoning","D8","People & Signals","D8.2","Conference Intelligence & Speaking Circuit","REG","The Thermal Reckoning: People & Signals","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the People & Signals sector — tracking Conference Intelligence & Speaking Circuit.","Established","Whitespace"
"2026-12-24","T-004","The Capital Concentration","D6","New Entrants","D6.1","Neocloud Infrastructure","LBR","The Capital Concentration: New Entrants","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the New Entrants sector — tracking Neocloud Infrastructure.","Established","Broad-only"
"2026-12-25","T-006","The Sovereign AI Race","D21","Insurance & Risk Markets","D21.2","Cyber Insurance & Tech E&O","RSC","The Sovereign AI Race: Insurance & Risk Markets","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Insurance & Risk Markets sector — tracking Cyber Insurance & Tech E&O.","Established","Dedicated"
"2026-12-26","T-003","The Consent Crisis","D17","Workforce & Labor Markets","D17.3","Immigration, Policy & Regional Labor Competition","PWR","The Consent Crisis: Workforce & Labor Markets","Communities are the new permitting authority. Today The Consent Crisis turns to the Workforce & Labor Markets sector — tracking Immigration, Policy & Regional Labor Competition.","Established","Whitespace"
"2026-12-27","T-005","The Inference Economy","D1","Chips & Density","D1.4; D1.5; D1.7","Memory (HBM & Next-Gen); Inference-Class Silicon & Economics; Hyperscaler-Class Silicon & Custom Accelerators","WTR","The Inference Economy: Chips & Density","Training built the factories. Inference fills them. Today The Inference Economy turns to the Chips & Density sector — tracking Memory (HBM & Next-Gen), Inference-Class Silicon & Economics and Hyperscaler-Class Silicon & Custom Accelerators.","Established","Dedicated"
"2026-12-28","T-002","The Thermal Reckoning","D11","Sustainability","D11.3; D11.4","Water Stewardship & Rights; Heat Recovery & Circular DC","LBR","The Thermal Reckoning: Sustainability","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Sustainability sector — tracking Water Stewardship & Rights and Heat Recovery & Circular DC.","Established","Dedicated"
"2026-12-29","T-006","The Sovereign AI Race","D2","Power Architecture","D2.5","Nuclear & SMR Offtake","COM","The Sovereign AI Race: Power Architecture","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Power Architecture sector — tracking Nuclear & SMR Offtake.","Established","Dedicated"
"2026-12-30","T-003","The Consent Crisis","D13","Community Relations","D13.1; D13.2","Community Benefits & Host Agreements; Opposition Movements & Organized Groups","ENV","The Consent Crisis: Community Relations","Communities are the new permitting authority. Today The Consent Crisis turns to the Community Relations sector — tracking Community Benefits & Host Agreements and Opposition Movements & Organized Groups.","Established","Dedicated"
"2026-12-31","T-001","The Power Reckoning","D10","Construction","D10.4","Project Delivery & Schedule Intelligence","ENV","The Power Reckoning: Construction","The grid wasn't built for this. Today The Power Reckoning turns to the Construction sector — tracking Project Delivery & Schedule Intelligence.","Established","Dedicated"
"2027-01-01","T-005","The Inference Economy","D15","Sovereign AI & Geopolitics","D15.2","National Compute Strategies & Sovereign Programs","LBR","The Inference Economy: Sovereign AI & Geopolitics","Training built the factories. Inference fills them. Today The Inference Economy turns to the Sovereign AI & Geopolitics sector — tracking National Compute Strategies & Sovereign Programs.","Established","Dedicated"
"2027-01-02","T-004","The Capital Concentration","D22","Industry Media & Analyst Coverage","D22.3; D22.2","APAC / LATAM / MENA Media Coverage; EU Media Coverage","RSC","The Capital Concentration: Industry Media & Analyst Coverage","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Industry Media & Analyst Coverage sector — tracking APAC / LATAM / MENA Media Coverage and EU Media Coverage.","Established","Dedicated"
"2027-01-03","T-002","The Thermal Reckoning","D20","Facility IT & Operational Technology","D20.2; D20.1","Facility DCIM & Digital Twin; Building Management Systems & HVAC Control","WTR","The Thermal Reckoning: Facility IT & Operational Technology","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Facility IT & Operational Technology sector — tracking Facility DCIM & Digital Twin and Building Management Systems & HVAC Control.","Established","Dedicated"
"2027-01-04","T-006","The Sovereign AI Race","D4","M&A & Capital Markets","D4.3","Sovereign Wealth & Institutional Capital","LBR","The Sovereign AI Race: M&A & Capital Markets","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the M&A & Capital Markets sector — tracking Sovereign Wealth & Institutional Capital.","Established","Broad-only"
"2027-01-05","T-001","The Power Reckoning","D5","Hyperscaler Activity","D5.1; D5.4","Big 5 Capex & Campus Announcements; Capacity Geography & Region Expansion","LBR","The Power Reckoning: Hyperscaler Activity","The grid wasn't built for this. Today The Power Reckoning turns to the Hyperscaler Activity sector — tracking Big 5 Capex & Campus Announcements and Capacity Geography & Region Expansion.","Established","Broad-only"
"2027-01-06","T-005","The Inference Economy","D9","Orchestration Intelligence & Control Plane","D9.3; D9.4","Inference Serving & Model-Routing Infrastructure; Power-Aware & Grid-Responsive Workload Orchestration","LBR","The Inference Economy: Orchestration Intelligence & Control Plane","Training built the factories. Inference fills them. Today The Inference Economy turns to the Orchestration Intelligence & Control Plane sector — tracking Inference Serving & Model-Routing Infrastructure and Power-Aware & Grid-Responsive Workload Orchestration.","Established","Whitespace"
"2027-01-07","T-003","The Consent Crisis","D7","Cooling & Water Technology","D7.3","Water Use & Waterless Cooling Strategies","WTR","The Consent Crisis: Cooling & Water Technology","Communities are the new permitting authority. Today The Consent Crisis turns to the Cooling & Water Technology sector — tracking Water Use & Waterless Cooling Strategies.","Established","Whitespace"
"2027-01-08","T-004","The Capital Concentration","D8","People & Signals","D8.1; D8.3; D8.5","Executive Movement & C-Suite Intelligence; Talent Flows & Specialized Hiring Signals; Earnings-Call & Investor-Day Signal Extraction","RSC","The Capital Concentration: People & Signals","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the People & Signals sector — tracking Executive Movement & C-Suite Intelligence, Talent Flows & Specialized Hiring Signals and Earnings-Call & Investor-Day Signal Extraction.","Established","Dedicated"
"2027-01-09","T-006","The Sovereign AI Race","D14","Real Estate & Site Selection","D14.4","International Markets","REG","The Sovereign AI Race: Real Estate & Site Selection","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Real Estate & Site Selection sector — tracking International Markets.","Established","Dedicated"
"2027-01-10","T-005","The Inference Economy","D23","Outage Intelligence & Emergency Response","D23.1","Major Outage Postmortems","ENV","The Inference Economy: Outage Intelligence & Emergency Response","Training built the factories. Inference fills them. Today The Inference Economy turns to the Outage Intelligence & Emergency Response sector — tracking Major Outage Postmortems.","Established","Dedicated"
"2027-01-11","T-001","The Power Reckoning","D3","Grid & Regulatory","D3.3; D3.2; D3.1","Utility Rate Cases & PUC Proceedings; State Moratorium & Legislative Landscape; Interconnection Queue & Grid Access","ENV","The Power Reckoning: Grid & Regulatory","The grid wasn't built for this. Today The Power Reckoning turns to the Grid & Regulatory sector — tracking Utility Rate Cases & PUC Proceedings, State Moratorium & Legislative Landscape and Interconnection Queue & Grid Access.","Established","Broad-only"
"2027-01-12","T-004","The Capital Concentration","D19","Tax, Incentives & Fiscal Policy","D19.1","State & Local Tax Incentives","WTR","The Capital Concentration: Tax, Incentives & Fiscal Policy","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Tax, Incentives & Fiscal Policy sector — tracking State & Local Tax Incentives.","Established","Dedicated"
"2027-01-13","T-002","The Thermal Reckoning","D12","Networking & Interconnect","D12.3; D12.5","AI Back-End Fabric & Interconnect; Optical Transceivers & Co-Packaged Optics","REG","The Thermal Reckoning: Networking & Interconnect","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Networking & Interconnect sector — tracking AI Back-End Fabric & Interconnect and Optical Transceivers & Co-Packaged Optics.","Established","Dedicated"
"2027-01-14","T-003","The Consent Crisis","D17","Workforce & Labor Markets","D17.3","Immigration, Policy & Regional Labor Competition","WTR","The Consent Crisis: Workforce & Labor Markets","Communities are the new permitting authority. Today The Consent Crisis turns to the Workforce & Labor Markets sector — tracking Immigration, Policy & Regional Labor Competition.","Established","Whitespace"
"2027-01-15","T-001","The Power Reckoning","D13","Community Relations","D13.3; D13.2; D13.1","Local Permitting & Entitlement Strategy; Opposition Movements & Organized Groups; Community Benefits & Host Agreements","WTR","The Power Reckoning: Community Relations","The grid wasn't built for this. Today The Power Reckoning turns to the Community Relations sector — tracking Local Permitting & Entitlement Strategy, Opposition Movements & Organized Groups and Community Benefits & Host Agreements.","Established","Dedicated"
"2027-01-16","T-005","The Inference Economy","D22","Industry Media & Analyst Coverage","D22.1","U.S. Media Coverage","LBR","The Inference Economy: Industry Media & Analyst Coverage","Training built the factories. Inference fills them. Today The Inference Economy turns to the Industry Media & Analyst Coverage sector — tracking U.S. Media Coverage.","Established","Dedicated"
"2027-01-17","T-004","The Capital Concentration","D10","Construction","D10.4; D10.5","Project Delivery & Schedule Intelligence; Construction Cost Curves & Inflation","INC","The Capital Concentration: Construction","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Construction sector — tracking Project Delivery & Schedule Intelligence and Construction Cost Curves & Inflation.","Established","Dedicated"
"2027-01-18","T-002","The Thermal Reckoning","D1","Chips & Density","D1.8","Advanced Packaging & Substrate Capacity","PWR","The Thermal Reckoning: Chips & Density","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Chips & Density sector — tracking Advanced Packaging & Substrate Capacity.","Established","Dedicated"
"2027-01-19","T-003","The Consent Crisis","D21","Insurance & Risk Markets","D21.3","Climate & Parametric Risk Products","LBR","The Consent Crisis: Insurance & Risk Markets","Communities are the new permitting authority. Today The Consent Crisis turns to the Insurance & Risk Markets sector — tracking Climate & Parametric Risk Products.","Established","Dedicated"
"2027-01-20","T-006","The Sovereign AI Race","D6","New Entrants","D6.2","Sovereign AI Programs & National Compute","REG","The Sovereign AI Race: New Entrants","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the New Entrants sector — tracking Sovereign AI Programs & National Compute.","Established","Broad-only"
"2027-01-21","T-005","The Inference Economy","D9","Orchestration Intelligence & Control Plane","D9.3; D9.2; D9.1","Inference Serving & Model-Routing Infrastructure; GPU Utilization & Compute Scheduling Economics; AI Factory Orchestration & DCIM","PWR","The Inference Economy: Orchestration Intelligence & Control Plane","Training built the factories. Inference fills them. Today The Inference Economy turns to the Orchestration Intelligence & Control Plane sector — tracking Inference Serving & Model-Routing Infrastructure, GPU Utilization & Compute Scheduling Economics and AI Factory Orchestration & DCIM.","Established","Whitespace"
"2027-01-22","T-004","The Capital Concentration","D4","M&A & Capital Markets","D4.4","Integrated Infrastructure Vendor M&A","WTR","The Capital Concentration: M&A & Capital Markets","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the M&A & Capital Markets sector — tracking Integrated Infrastructure Vendor M&A.","Established","Broad-only"
"2027-01-23","T-003","The Consent Crisis","D7","Cooling & Water Technology","D7.3","Water Use & Waterless Cooling Strategies","NET","The Consent Crisis: Cooling & Water Technology","Communities are the new permitting authority. Today The Consent Crisis turns to the Cooling & Water Technology sector — tracking Water Use & Waterless Cooling Strategies.","Established","Whitespace"
"2027-01-24","T-001","The Power Reckoning","D5","Hyperscaler Activity","D5.1","Big 5 Capex & Campus Announcements","ENV","The Power Reckoning: Hyperscaler Activity","The grid wasn't built for this. Today The Power Reckoning turns to the Hyperscaler Activity sector — tracking Big 5 Capex & Campus Announcements.","Established","Broad-only"
"2027-01-25","T-002","The Thermal Reckoning","D20","Facility IT & Operational Technology","D20.1","Building Management Systems & HVAC Control","NET","The Thermal Reckoning: Facility IT & Operational Technology","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Facility IT & Operational Technology sector — tracking Building Management Systems & HVAC Control.","Established","Dedicated"
"2027-01-26","T-006","The Sovereign AI Race","D14","Real Estate & Site Selection","D14.4","International Markets","LBR","The Sovereign AI Race: Real Estate & Site Selection","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Real Estate & Site Selection sector — tracking International Markets.","Established","Dedicated"
"2027-01-27","T-003","The Consent Crisis","D15","Sovereign AI & Geopolitics","D15.5","Data Sovereignty & Cross-Border Flows","ENV","The Consent Crisis: Sovereign AI & Geopolitics","Communities are the new permitting authority. Today The Consent Crisis turns to the Sovereign AI & Geopolitics sector — tracking Data Sovereignty & Cross-Border Flows.","Established","Dedicated"
"2027-01-28","T-004","The Capital Concentration","D19","Tax, Incentives & Fiscal Policy","D19.3; D19.1","International Tax & Transfer Pricing; State & Local Tax Incentives","COM","The Capital Concentration: Tax, Incentives & Fiscal Policy","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Tax, Incentives & Fiscal Policy sector — tracking International Tax & Transfer Pricing and State & Local Tax Incentives.","Established","Dedicated"
"2027-01-29","T-002","The Thermal Reckoning","D11","Sustainability","D11.3","Water Stewardship & Rights","PWR","The Thermal Reckoning: Sustainability","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Sustainability sector — tracking Water Stewardship & Rights.","Established","Dedicated"
"2027-01-30","T-006","The Sovereign AI Race","D23","Outage Intelligence & Emergency Response","D23.3","Cyber Incidents Targeting DC Infrastructure","ENV","The Sovereign AI Race: Outage Intelligence & Emergency Response","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Outage Intelligence & Emergency Response sector — tracking Cyber Incidents Targeting DC Infrastructure.","Established","Dedicated"
"2027-01-31","T-001","The Power Reckoning","D12","Networking & Interconnect","D12.1","Long-Haul & Dark Fiber Leasing","RSC","The Power Reckoning: Networking & Interconnect","The grid wasn't built for this. Today The Power Reckoning turns to the Networking & Interconnect sector — tracking Long-Haul & Dark Fiber Leasing.","Established","Dedicated"
"2027-02-01","T-005","The Inference Economy","D8","People & Signals","D8.2","Conference Intelligence & Speaking Circuit","COM","The Inference Economy: People & Signals","Training built the factories. Inference fills them. Today The Inference Economy turns to the People & Signals sector — tracking Conference Intelligence & Speaking Circuit.","Established","Whitespace"
"2027-02-02","T-003","The Consent Crisis","D3","Grid & Regulatory","D3.1; D3.2; D3.3","Interconnection Queue & Grid Access; State Moratorium & Legislative Landscape; Utility Rate Cases & PUC Proceedings","LBR","The Consent Crisis: Grid & Regulatory","Communities are the new permitting authority. Today The Consent Crisis turns to the Grid & Regulatory sector — tracking Interconnection Queue & Grid Access, State Moratorium & Legislative Landscape and Utility Rate Cases & PUC Proceedings.","Established","Broad-only"
"2027-02-03","T-002","The Thermal Reckoning","D22","Industry Media & Analyst Coverage","D22.1; D22.2; D22.4","U.S. Media Coverage; EU Media Coverage; Industry Analysts","WTR","The Thermal Reckoning: Industry Media & Analyst Coverage","Air is over. The question is what replaces it. Today The Thermal Reckoning turns to the Industry Media & Analyst Coverage sector — tracking U.S. Media Coverage, EU Media Coverage and Industry Analysts.","Established","Dedicated"
"2027-02-04","T-007","The New Energy Stack","D2","Power Architecture","D2.6; D2.5","Behind-the-Fence Gas & Fuel Cells; Nuclear & SMR Offtake","REG","The New Energy Stack: Power Architecture","The grid is no longer the default. Today The New Energy Stack turns to the Power Architecture sector — tracking Behind-the-Fence Gas & Fuel Cells and Nuclear & SMR Offtake.","Established","Dedicated"
"2027-02-05","T-006","The Sovereign AI Race","D6","New Entrants","D6.2","Sovereign AI Programs & National Compute","LBR","The Sovereign AI Race: New Entrants","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the New Entrants sector — tracking Sovereign AI Programs & National Compute.","Established","Broad-only"
"2027-02-06","T-001","The Power Reckoning","D13","Community Relations","D13.1","Community Benefits & Host Agreements","PWR","The Power Reckoning: Community Relations","The grid wasn't built for this. Today The Power Reckoning turns to the Community Relations sector — tracking Community Benefits & Host Agreements.","Established","Dedicated"
"2027-02-07","T-005","The Inference Economy","D5","Hyperscaler Activity","D5.2","Hyperscaler Custom Silicon Strategy","WTR","The Inference Economy: Hyperscaler Activity","Training built the factories. Inference fills them. Today The Inference Economy turns to the Hyperscaler Activity sector — tracking Hyperscaler Custom Silicon Strategy.","Established","Broad-only"
"2027-02-08","T-004","The Capital Concentration","D4","M&A & Capital Markets","D4.1","PE & Infrastructure Fund Activity","ENV","The Capital Concentration: M&A & Capital Markets","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the M&A & Capital Markets sector — tracking PE & Infrastructure Fund Activity.","Established","Broad-only"
"2027-02-09","T-006","The Sovereign AI Race","D21","Insurance & Risk Markets","D21.2","Cyber Insurance & Tech E&O","INC","The Sovereign AI Race: Insurance & Risk Markets","Compute is the new strategic reserve. Today The Sovereign AI Race turns to the Insurance & Risk Markets sector — tracking Cyber Insurance & Tech E&O.","Established","Dedicated"
"2027-02-10","T-001","The Power Reckoning","D20","Facility IT & Operational Technology","D20.2; D20.1","Facility DCIM & Digital Twin; Building Management Systems & HVAC Control","LBR","The Power Reckoning: Facility IT & Operational Technology","The grid wasn't built for this. Today The Power Reckoning turns to the Facility IT & Operational Technology sector — tracking Facility DCIM & Digital Twin and Building Management Systems & HVAC Control.","Established","Dedicated"
"2027-02-11","T-005","The Inference Economy","D9","Orchestration Intelligence & Control Plane","D9.3; D9.4; D9.1","Inference Serving & Model-Routing Infrastructure; Power-Aware & Grid-Responsive Workload Orchestration; AI Factory Orchestration & DCIM","COM","The Inference Economy: Orchestration Intelligence & Control Plane","Training built the factories. Inference fills them. Today The Inference Economy turns to the Orchestration Intelligence & Control Plane sector — tracking Inference Serving & Model-Routing Infrastructure, Power-Aware & Grid-Responsive Workload Orchestration and AI Factory Orchestration & DCIM.","Established","Whitespace"
"2027-02-12","T-004","The Capital Concentration","D17","Workforce & Labor Markets","D17.1","Construction & Skilled Trades Labor","ENV","The Capital Concentration: Workforce & Labor Markets","Fewer hands. More capital. Higher stakes. Today The Capital Concentration turns to the Workforce & Labor Markets sector — tracking Construction & Skilled Trades Labor.","Established","Dedicated"
